Partlist

Exported from K-Board.sch at 3/12/13 11:59 AM

EAGLE Version 6.1.0 Copyright (c) 1988-2012 CadSoft

Assembly variant: 

Part     Value                     Device                    Package          Library               Sheet
R20      330                       RESISTOR0402-RES          0402-RES         BUG                   1
R21      330                       RESISTOR0402-RES          0402-RES         BUG                   1
R22      10k                       RESISTOR0402-RES          0402-RES         BUG                   1
R23      100k                      RESISTOR0402-RES          0402-RES         BUG                   1
R24      330                       RESISTOR0402-RES          0402-RES         BUG                   1
R25      10k                       RESISTOR0402-RES          0402-RES         BUG                   1
R26      100k                      RESISTOR0402-RES          0402-RES         BUG                   1
R27      DNP                       RESISTOR0402-RES          0402-RES         BUG                   1
R28      10k                       RESISTOR0402-RES          0402-RES         BUG                   1
R29      330                       RESISTOR0402-RES          0402-RES         BUG                   1
R30      10k                       RESISTOR0402-RES          0402-RES         BUG                   1
R31      110                       RESISTOR0402-RES          0402-RES         BUG                   1
R32      110                       RESISTOR0402-RES          0402-RES         BUG                   1
R33      110                       RESISTOR0402-RES          0402-RES         BUG                   1
R34      110                       RESISTOR0402-RES          0402-RES         BUG                   1
R35      124k                      RESISTOR0402-RES          0402-RES         BUG                   1
R35B     R_ID                      RESISTORPTH-1/4W          AXIAL-0.4        BUG                   1
R36      110                       RESISTOR0402-RES          0402-RES         BUG                   1
R37      110                       RESISTOR0402-RES          0402-RES         BUG                   1
R38      1M                        RESISTOR0805-RES          0805             BUG                   1
R39      0                         RESISTOR0402-RES          0402-RES         BUG                   1
R40      DNP                       RESISTOR0402-RES          0402-RES         BUG                   1
R41      DNP                       RESISTOR0402-RES          0402-RES         BUG                   1
R42      0                         RESISTOR0402-RES          0402-RES         BUG                   1
R43      DNP                       RESISTOR0402-RES          0402-RES         BUG                   1
R44      0                         RESISTOR0402-RES          0402-RES         BUG                   1
R45      DNP                       RESISTOR0402-RES          0402-RES         BUG                   1
R46      0                         RESISTOR0402-RES          0402-RES         BUG                   1
R47      DNP                       RESISTOR0402-RES          0402-RES         BUG                   1
R48      0                         RESISTOR0402-RES          0402-RES         BUG                   1
R49      DNP                       RESISTOR0402-RES          0402-RES         BUG                   1
R50      0                         RESISTOR0402-RES          0402-RES         BUG                   1
R51      DNP                       RESISTOR0402-RES          0402-RES         BUG                   1
R52      0                         RESISTOR0402-RES          0402-RES         BUG                   1
SJ1      OPEN                      SOLDERJUMPERNO            SJ_2S-NO         SparkFun-Passives     1
SJ2      CLOSED                    SOLDERJUMPERTRACE         SJ_2S-TRACE      SparkFun-Passives     1
SJ3      CLOSED                    SOLDERJUMPERTRACE         SJ_2S-TRACE      SparkFun-Passives     1
TP1      RESET                     TEST-POINT3               PAD.03X.03       BUG                   1
TP2      +5V                       TEST-POINT3               PAD.03X.03       BUG                   1
TP3      +12V                      TEST-POINT3               PAD.03X.03       BUG                   1
TP4      VBUS                      TEST-POINT3               PAD.03X.03       BUG                   1
TP5      CFG1                      TEST-POINT3               PAD.03X.03       BUG                   1
TP6      CFG2                      TEST-POINT3               PAD.03X.03       BUG                   1
TP7      ERR0                      TEST-POINT3               PAD.03X.03       BUG                   1
TP8      PWR0                      TEST-POINT3               PAD.03X.03       BUG                   1
TP9      ERR1                      TEST-POINT3               PAD.03X.03       BUG                   1
TP10     PWR1                      TEST-POINT3               PAD.03X.03       BUG                   1
TP11     ERR2                      TEST-POINT3               PAD.03X.03       BUG                   1
TP12     ERR3                      TEST-POINT3               PAD.03X.03       BUG                   1
TP13     PWR2                      TEST-POINT3               PAD.03X.03       BUG                   1
TP14     PWR3                      TEST-POINT3               PAD.03X.03       BUG                   1
TP15     ERR4                      TEST-POINT3               PAD.03X.03       BUG                   1
TP16     PWR4                      TEST-POINT3               PAD.03X.03       BUG                   1
TP17     ERR5                      TEST-POINT3               PAD.03X.03       BUG                   1
TP18     ERR6                      TEST-POINT3               PAD.03X.03       BUG                   1
TP19     PWR5                      TEST-POINT3               PAD.03X.03       BUG                   1
TP20     PWR6                      TEST-POINT3               PAD.03X.03       BUG                   1
U1                                 MIC2026                   SOIC8            BUG                   1
U2                                 MIC2026                   SOIC8            BUG                   1
U3       USB2517                   USB2517                   QFN-64-PAD       BUG                   1
U4       TLE4284DV33               V_REG_317DPACK            V-REG_DPACK      BUG                   1
U6                                 MIC2026                   SOIC8            BUG                   1
U7                                 MIC2026                   SOIC8            BUG                   1
Y1       24M                       CRYSTAL                   HC49USX          BUG                   1
